"Average weekly BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CNY","","","","","","","","",""
"2016-03-27","6.5064",,,,,,,,,
"2016-03-20","6.4868",,,,,,,,,
"2016-03-13","6.5007",,,,,,,,,
"2016-03-06","6.5438",,,,,,,,,
"2016-02-28","6.5285",,,,,,,,,
"2016-02-21","6.5214",,,,,,,,,
"2016-02-14","6.5686",,,,,,,,,
"2016-02-07","6.5750",,,,,,,,,
"2016-01-31","6.5802",,,,,,,,,
"2016-01-24","6.5769",,,,,,,,,
"2016-01-17","6.5728",,,,,,,,,
"2016-01-10","6.5628",,,,,,,,,
"2016-01-03","6.4947",,,,,,,,,
"2015-12-27","6.4720",,,,,,,,,
"2015-12-20","6.4724",,,,,,,,,
"2015-12-13","6.4287",,,,,,,,,
"2015-12-06","6.3893",,,,,,,,,
"2015-11-29","6.3819",,,,,,,,,
"2015-11-22","6.3727",,,,,,,,,
"2015-11-15","6.3610",,,,,,,,,
"2015-11-08","6.3363",,,,,,,,,
"2015-11-01","6.3363",,,,,,,,,
"2015-10-25","6.3439",,,,,,,,,
"2015-10-18","6.3363",,,,,,,,,
"2015-10-11","6.3426",,,,,,,,,
"2015-10-04","6.3491",,,,,,,,,
"2015-09-27","6.3662",,,,,,,,,
"2015-09-20","6.3567",,,,,,,,,
"2015-09-13","6.3633",,,,,,,,,
"2015-09-06","6.3515",,,,,,,,,
"2015-08-30","6.3903",,,,,,,,,
"2015-08-23","6.3827",,,,,,,,,
"2015-08-16","6.3495",,,,,,,,,
"2015-08-09","6.1997",,,,,,,,,
"2015-08-02","6.1505",,,,,,,,,
"2015-07-26","6.0847",,,,,,,,,
"2015-07-19","6.0875",,,,,,,,,
"2015-07-12","6.0895",,,,,,,,,
"2015-07-05","6.0873",,,,,,,,,
"2015-06-28","6.0865",,,,,,,,,
"2015-06-21","6.0893",,,,,,,,,
"2015-06-14","6.0963",,,,,,,,,
"2015-06-07","6.0925",,,,,,,,,
"2015-05-31","6.0886",,,,,,,,,
"2015-05-24","6.0810",,,,,,,,,
"2015-05-17","6.0775",,,,,,,,,
"2015-05-10","6.0873",,,,,,,,,
"2015-05-03","6.0879",,,,,,,,,
"2015-04-26","6.0909",,,,,,,,,
"2015-04-19","6.0955",,,,,,,,,
"2015-04-12","6.0996",,,,,,,,,
"2015-04-05","6.1007",,,,,,,,,
"2015-03-29","6.1127",,,,,,,,,
"2015-03-22","6.1222",,,,,,,,,
"2015-03-15","6.1492",,,,,,,,,
"2015-03-08","6.1475",,,,,,,,,
"2015-03-01","6.1485",,,,,,,,,
"2015-02-22","6.1411",,,,,,,,,
"2015-02-15","6.1362",,,,,,,,,
"2015-02-08","6.1469",,,,,,,,,
"2015-02-01","6.1532",,,,,,,,,
"2015-01-25","6.1320",,,,,,,,,
"2015-01-18","6.1174",,,,,,,,,
"2015-01-11","6.1250",,,,,,,,,
"2015-01-04","6.1383",,,,,,,,,
"2014-12-28","6.1333",,,,,,,,,
"2014-12-21","6.1260",,,,,,,,,
"2014-12-14","6.1244",,,,,,,,,
"2014-12-07","6.1311",,,,,,,,,
"2014-11-30","6.1341",,,,,,,,,
"2014-11-23","6.1388",,,,,,,,,
"2014-11-16","6.1407",,,,,,,,,
"2014-11-09","6.1425",,,,,,,,,
"2014-11-02","6.1352",,,,,,,,,
"2014-10-26","6.1374",,,,,,,,,
"2014-10-19","6.1364",,,,,,,,,
"2014-10-12","6.1349",,,,,,,,,
"2014-10-05","6.1495",,,,,,,,,
"2014-09-28","6.1418",,,,,,,,,
"2014-09-21","6.1483",,,,,,,,,
"2014-09-14","6.1478",,,,,,,,,
"2014-09-07","6.1591",,,,,,,,,
"2014-08-31","6.1565",,,,,,,,,
"2014-08-24","6.1548",,,,,,,,,
"2014-08-17","6.1516",,,,,,,,,
"2014-08-10","6.1584",,,,,,,,,
"2014-08-03","6.1651",,,,,,,,,
"2014-07-27","6.1608",,,,,,,,,
"2014-07-20","6.1707",,,,,,,,,
